Date,Hour,Total Market Demand,Ontario Demand
1-May-02,1,14141,14137
1-May-02,2,13876,13872
1-May-02,3,13974,13820
1-May-02,4,13898,13744
1-May-02,5,14378,14224
1-May-02,6,15408,15404
1-May-02,7,17070,17066
1-May-02,8,17644,17640
1-May-02,9,17723,17719
1-May-02,10,17774,17770
1-May-02,11,17729,17725
1-May-02,12,17615,17611
1-May-02,13,17530,17526
1-May-02,14,17472,17468
1-May-02,15,17482,17478
1-May-02,16,17592,17588
1-May-02,17,17650,17646
1-May-02,18,17292,17288
1-May-02,19,17231,17227
1-May-02,20,17903,17899
1-May-02,21,17906,17902
1-May-02,22,16614,16610
1-May-02,23,15364,15360
1-May-02,24,14455,14451
2-May-02,1,13945,13941
2-May-02,2,13655,13651
2-May-02,3,13823,13569
2-May-02,4,13774,13610
2-May-02,5,14368,14204
2-May-02,6,15615,15601
2-May-02,7,17610,17556
2-May-02,8,18474,18420
2-May-02,9,18703,18699
2-May-02,10,18848,18844
2-May-02,11,18891,18887
2-May-02,12,18772,18768
2-May-02,13,18616,18612
2-May-02,14,18414,18410
2-May-02,15,18396,18392
2-May-02,16,18600,18596
2-May-02,17,18656,18652
2-May-02,18,18368,18364
2-May-02,19,18293,18264
2-May-02,20,18409,18405
2-May-02,21,18213,18209
2-May-02,22,16949,16945
2-May-02,23,15753,15749
2-May-02,24,14797,14793
3-May-02,1,14239,14235
3-May-02,2,14346,14092
3-May-02,3,14426,13972
3-May-02,4,14184,13980
3-May-02,5,14331,14277
3-May-02,6,15615,15611
3-May-02,7,17569,17565
3-May-02,8,18266,18262
3-May-02,9,18356,18352
3-May-02,10,18504,18500
3-May-02,11,18486,18482
3-May-02,12,18256,18252
3-May-02,13,18035,18031
3-May-02,14,17580,17576
3-May-02,15,17423,17419
3-May-02,16,17386,17357
3-May-02,17,17104,17100
3-May-02,18,16741,16712
3-May-02,19,16484,16480
3-May-02,20,16901,16897
3-May-02,21,17254,17250
3-May-02,22,16401,16397
3-May-02,23,15221,15217
3-May-02,24,14247,14243
4-May-02,1,13680,13611
4-May-02,2,13430,13361
4-May-02,3,13485,13206
4-May-02,4,13474,13205
4-May-02,5,13467,13398
4-May-02,6,13673,13604
4-May-02,7,14535,14531
4-May-02,8,15475,15471
4-May-02,9,16078,16074
4-May-02,10,16241,16237
