Date,Hour,HOEP
1-May-02,1,22.97
1-May-02,2,23.27
1-May-02,3,24.54
1-May-02,4,15.17
1-May-02,5,23.59
1-May-02,6,28.84
1-May-02,7,30.63
1-May-02,8,32.23
1-May-02,9,30
1-May-02,10,30.16
1-May-02,11,30.25
1-May-02,12,29.76
1-May-02,13,29.51
1-May-02,14,29.63
1-May-02,15,30.37
1-May-02,16,31.11
1-May-02,17,30.65
1-May-02,18,30.09
1-May-02,19,29.47
1-May-02,20,33.81
1-May-02,21,34.56
1-May-02,22,28.93
1-May-02,23,27.55
1-May-02,24,24.22
2-May-02,1,18.75
2-May-02,2,18.89
2-May-02,3,23.3
2-May-02,4,20.56
2-May-02,5,26.35
2-May-02,6,30.1
2-May-02,7,30.97
2-May-02,8,32.82
2-May-02,9,34.6
2-May-02,10,36.7
2-May-02,11,38.64
2-May-02,12,33.56
2-May-02,13,33.07
2-May-02,14,32.49
2-May-02,15,33.37
2-May-02,16,37.54
2-May-02,17,33.55
2-May-02,18,31.93
2-May-02,19,31.33
2-May-02,20,30.88
2-May-02,21,31.84
2-May-02,22,28.99
2-May-02,23,27.2
2-May-02,24,24.75
3-May-02,1,22.95
3-May-02,2,25.74
3-May-02,3,26.17
3-May-02,4,24.99
3-May-02,5,24.69
3-May-02,6,28.29
3-May-02,7,34.46
3-May-02,8,54.17
3-May-02,9,64.18
3-May-02,10,36.22
3-May-02,11,31.67
3-May-02,12,31.7
3-May-02,13,31.53
3-May-02,14,30.91
3-May-02,15,30.73
3-May-02,16,31.08
3-May-02,17,30.78
3-May-02,18,29.04
3-May-02,19,26.04
3-May-02,20,30.42
3-May-02,21,31.26
3-May-02,22,29.8
3-May-02,23,28.35
3-May-02,24,24.66
4-May-02,1,14.34
4-May-02,2,10.83
4-May-02,3,19.55
4-May-02,4,14.15
4-May-02,5,13.73
4-May-02,6,14.66
4-May-02,7,26.92
4-May-02,8,32.73
4-May-02,9,34.15
4-May-02,10,36.26
4-May-02,11,36.46
4-May-02,12,33.81
4-May-02,13,32.61
4-May-02,14,31.81
4-May-02,15,31.16
4-May-02,16,31.19
4-May-02,17,31.32
4-May-02,18,30.02
4-May-02,19,27.08
4-May-02,20,29.77
4-May-02,21,31.47
4-May-02,22,30.23
4-May-02,23,25.16
4-May-02,24,17.85
5-May-02,1,15.83
5-May-02,2,15.74
5-May-02,3,15.69
5-May-02,4,14.16
