Hour_End,COAST
1/1/2007 0:00,8448
1/1/2007 1:00,8418
1/1/2007 2:00,8300
1/1/2007 3:00,8263
1/1/2007 4:00,8258
1/1/2007 5:00,8338
1/1/2007 6:00,8525
1/1/2007 7:00,8734
1/1/2007 8:00,8707
1/1/2007 9:00,8775
1/1/2007 10:00,8907
1/1/2007 11:00,8981
1/1/2007 12:00,8954
1/1/2007 13:00,8816
1/1/2007 14:00,8640
1/1/2007 15:00,8489
1/1/2007 16:00,8400
1/1/2007 17:00,8450
1/1/2007 18:00,8961
1/1/2007 19:00,9661
1/1/2007 20:00,9734
1/1/2007 21:00,9729
1/1/2007 22:00,9572
1/1/2007 23:00,9260
1/2/2007 0:00,8885
1/2/2007 1:00,8605
1/2/2007 2:00,8478
1/2/2007 3:00,8481
1/2/2007 4:00,8576
1/2/2007 5:00,8809
1/2/2007 6:00,9428
1/2/2007 7:00,10210
1/2/2007 8:00,10487
1/2/2007 9:00,10528
1/2/2007 10:00,10455
1/2/2007 11:00,10357
1/2/2007 12:00,10170
1/2/2007 13:00,9856
1/2/2007 14:00,9688
1/2/2007 15:00,9517
1/2/2007 16:00,9406
1/2/2007 17:00,9349
1/2/2007 18:00,9819
1/2/2007 19:00,10444
1/2/2007 20:00,10449
1/2/2007 21:00,10338
1/2/2007 22:00,10008
1/2/2007 23:00,9479
1/3/2007 0:00,8932
1/3/2007 1:00,8588
1/3/2007 2:00,8431
1/3/2007 3:00,8386
1/3/2007 4:00,8402
1/3/2007 5:00,8590
1/3/2007 6:00,9165
1/3/2007 7:00,10013
1/3/2007 8:00,10252
1/3/2007 9:00,10156
1/3/2007 10:00,10246
1/3/2007 11:00,10298
1/3/2007 12:00,10288
1/3/2007 13:00,10215
1/3/2007 14:00,10144
1/3/2007 15:00,10109
1/3/2007 16:00,10161
1/3/2007 17:00,10271
1/3/2007 18:00,10739
1/3/2007 19:00,11042
1/3/2007 20:00,10902
1/3/2007 21:00,10672
1/3/2007 22:00,10226
1/3/2007 23:00,9559
1/4/2007 0:00,8937
1/4/2007 1:00,8495
1/4/2007 2:00,8261
1/4/2007 3:00,8136
1/4/2007 4:00,8110
1/4/2007 5:00,8328
1/4/2007 6:00,8938
1/4/2007 7:00,9781
1/4/2007 8:00,10063
1/4/2007 9:00,9960
1/4/2007 10:00,10050
1/4/2007 11:00,10189
1/4/2007 12:00,10109
1/4/2007 13:00,10044
1/4/2007 14:00,10006
1/4/2007 15:00,9853
1/4/2007 16:00,9835
1/4/2007 17:00,9818
1/4/2007 18:00,10111
1/4/2007 19:00,10612
1/4/2007 20:00,10525
1/4/2007 21:00,10332
1/4/2007 22:00,9911
1/4/2007 23:00,9289
1/5/2007 0:00,8691
1/5/2007 1:00,8305
1/5/2007 2:00,8114
1/5/2007 3:00,8021
1/5/2007 4:00,8013
1/5/2007 5:00,8164
1/5/2007 6:00,8744
1/5/2007 7:00,9606
1/5/2007 8:00,9925
1/5/2007 9:00,9954
1/5/2007 10:00,9950
1/5/2007 11:00,9875
1/5/2007 12:00,9690
1/5/2007 13:00,9576
1/5/2007 14:00,9594
1/5/2007 15:00,9615
1/5/2007 16:00,9642
1/5/2007 17:00,9566
1/5/2007 18:00,9570
1/5/2007 19:00,9778
1/5/2007 20:00,9548
1/5/2007 21:00,9367
1/5/2007 22:00,9133
1/5/2007 23:00,8750
1/6/2007 0:00,8280
1/6/2007 1:00,7875
1/6/2007 2:00,7637
1/6/2007 3:00,7462
1/6/2007 4:00,7392
1/6/2007 5:00,7413
1/6/2007 6:00,7539
1/6/2007 7:00,7826
1/6/2007 8:00,8045
1/6/2007 9:00,8316
1/6/2007 10:00,8653
1/6/2007 11:00,8916
1/6/2007 12:00,9002
1/6/2007 13:00,8982
1/6/2007 14:00,8854
1/6/2007 15:00,8730
1/6/2007 16:00,8672
1/6/2007 17:00,8749
1/6/2007 18:00,9113
1/6/2007 19:00,9392
1/6/2007 20:00,9259
1/6/2007 21:00,9104
1/6/2007 22:00,8887
1/6/2007 23:00,8562
1/7/2007 0:00,8228
1/7/2007 1:00,7878
1/7/2007 2:00,7641
1/7/2007 3:00,7495
1/7/2007 4:00,7428
1/7/2007 5:00,7445
1/7/2007 6:00,7559
1/7/2007 7:00,7765
1/7/2007 8:00,7831
1/7/2007 9:00,8054
1/7/2007 10:00,8304
1/7/2007 11:00,8393
1/7/2007 12:00,8375
1/7/2007 13:00,8351
1/7/2007 14:00,8347
1/7/2007 15:00,8479
1/7/2007 16:00,8525
1/7/2007 17:00,8465
1/7/2007 18:00,8769
1/7/2007 19:00,9395
1/7/2007 20:00,9364
1/7/2007 21:00,9273
1/7/2007 22:00,9100
1/7/2007 23:00,8712
1/8/2007 0:00,8223
1/8/2007 1:00,7967
1/8/2007 2:00,7905
1/8/2007 3:00,7945
1/8/2007 4:00,8071
1/8/2007 5:00,8396
1/8/2007 6:00,9182
1/8/2007 7:00,10318
1/8/2007 8:00,10607
1/8/2007 9:00,10479
1/8/2007 10:00,10332
1/8/2007 11:00,10030
1/8/2007 12:00,9780
1/8/2007 13:00,9637
1/8/2007 14:00,9523
1/8/2007 15:00,9439
1/8/2007 16:00,9350
1/8/2007 17:00,9350
1/8/2007 18:00,9665
1/8/2007 19:00,10310
1/8/2007 20:00,10337
1/8/2007 21:00,10250
1/8/2007 22:00,9945
1/8/2007 23:00,9420
1/9/2007 0:00,8861
1/9/2007 1:00,8489
1/9/2007 2:00,8384
1/9/2007 3:00,8377
1/9/2007 4:00,8455
1/9/2007 5:00,8718
1/9/2007 6:00,9435
1/9/2007 7:00,10466
1/9/2007 8:00,10710
1/9/2007 9:00,10391
1/9/2007 10:00,10391
1/9/2007 11:00,10017
1/9/2007 12:00,9822
1/9/2007 13:00,9661
1/9/2007 14:00,9563
1/9/2007 15:00,9448
1/9/2007 16:00,9388
1/9/2007 17:00,9328
1/9/2007 18:00,9533
1/9/2007 19:00,10056
1/9/2007 20:00,10038
1/9/2007 21:00,9926
1/9/2007 22:00,9607
1/9/2007 23:00,9061
1/10/2007 0:00,8529
1/10/2007 1:00,8212
1/10/2007 2:00,8126
1/10/2007 3:00,8115
1/10/2007 4:00,8225
1/10/2007 5:00,8503
1/10/2007 6:00,9258
1/10/2007 7:00,10298
1/10/2007 8:00,10518
1/10/2007 9:00,10231
1/10/2007 10:00,9983
1/10/2007 11:00,9752
1/10/2007 12:00,9557
1/10/2007 13:00,9393
1/10/2007 14:00,9373
1/10/2007 15:00,9344
1/10/2007 16:00,9317
1/10/2007 17:00,9332
1/10/2007 18:00,9557
1/10/2007 19:00,10059
1/10/2007 20:00,9993
1/10/2007 21:00,9881
