Eastern Date Hour,DAM Zonal LBMP
1/1/2008 0:00,66.61
1/1/2008 1:00,60.36
1/1/2008 2:00,52.7
1/1/2008 3:00,46.91
1/1/2008 4:00,54.3
1/1/2008 5:00,52.83
1/1/2008 6:00,55.28
1/1/2008 7:00,55.1
1/1/2008 8:00,68.18
1/1/2008 9:00,81.44
1/1/2008 10:00,87.18
1/1/2008 11:00,80.16
1/1/2008 12:00,79.53
1/1/2008 13:00,79.2
1/1/2008 14:00,73.54
1/1/2008 15:00,82.73
1/1/2008 16:00,99.18
1/1/2008 17:00,115.99
1/1/2008 18:00,103.9
1/1/2008 19:00,97.83
1/1/2008 20:00,95.42
1/1/2008 21:00,88.9
1/1/2008 22:00,75.66
1/1/2008 23:00,60.24
1/2/2008 0:00,70.16
1/2/2008 1:00,65.75
1/2/2008 2:00,56.74
1/2/2008 3:00,62.67
1/2/2008 4:00,63.85
1/2/2008 5:00,74.84
1/2/2008 6:00,111.78
1/2/2008 7:00,117.39
1/2/2008 8:00,126.95
1/2/2008 9:00,115.42
1/2/2008 10:00,111.26
1/2/2008 11:00,113.51
1/2/2008 12:00,111
1/2/2008 13:00,108.85
1/2/2008 14:00,108.38
1/2/2008 15:00,110.69
1/2/2008 16:00,124.56
1/2/2008 17:00,151.56
1/2/2008 18:00,146.69
1/2/2008 19:00,132.01
1/2/2008 20:00,131.27
1/2/2008 21:00,106.3
1/2/2008 22:00,96.42
1/2/2008 23:00,101.3
1/3/2008 0:00,103.08
1/3/2008 1:00,96.12
1/3/2008 2:00,87.52
1/3/2008 3:00,87.95
1/3/2008 4:00,87.89
1/3/2008 5:00,108.21
1/3/2008 6:00,135.53
1/3/2008 7:00,137.77
1/3/2008 8:00,139.21
1/3/2008 9:00,142.43
1/3/2008 10:00,137.95
1/3/2008 11:00,134
1/3/2008 12:00,126.6
1/3/2008 13:00,126.15
1/3/2008 14:00,124.15
1/3/2008 15:00,134.13
1/3/2008 16:00,146.07
1/3/2008 17:00,182.09
1/3/2008 18:00,175.66
1/3/2008 19:00,161.57
1/3/2008 20:00,151.15
1/3/2008 21:00,147.19
1/3/2008 22:00,120.83
1/3/2008 23:00,124.72
1/4/2008 0:00,130.53
1/4/2008 1:00,125.68
1/4/2008 2:00,112.42
1/4/2008 3:00,109.69
1/4/2008 4:00,120.79
1/4/2008 5:00,141.9
1/4/2008 6:00,168.14
1/4/2008 7:00,150.18
1/4/2008 8:00,146.11
1/4/2008 9:00,146.12
1/4/2008 10:00,146.46
1/4/2008 11:00,136.11
1/4/2008 12:00,131.3
1/4/2008 13:00,129.43
1/4/2008 14:00,132.45
1/4/2008 15:00,138.84
1/4/2008 16:00,151.63
1/4/2008 17:00,168.84
1/4/2008 18:00,172.51
1/4/2008 19:00,154.57
1/4/2008 20:00,153.85
1/4/2008 21:00,140.64
1/4/2008 22:00,138.18
1/4/2008 23:00,148.35
1/5/2008 0:00,110.13
1/5/2008 1:00,104.5
1/5/2008 2:00,96.9
1/5/2008 3:00,94.81
1/5/2008 4:00,96.17
1/5/2008 5:00,103.75
1/5/2008 6:00,104.95
1/5/2008 7:00,92.59
1/5/2008 8:00,101.86
1/5/2008 9:00,117.44
1/5/2008 10:00,117.43
1/5/2008 11:00,115.27
1/5/2008 12:00,102.11
1/5/2008 13:00,99.96
1/5/2008 14:00,81.39
1/5/2008 15:00,81.99
1/5/2008 16:00,113.65
1/5/2008 17:00,137.18
1/5/2008 18:00,129.51
1/5/2008 19:00,113.99
1/5/2008 20:00,99.02
1/5/2008 21:00,99.97
1/5/2008 22:00,83.53
1/5/2008 23:00,76.38
1/6/2008 0:00,75.17
1/6/2008 1:00,63.5
1/6/2008 2:00,56.73
1/6/2008 3:00,54.37
1/6/2008 4:00,55.39
1/6/2008 5:00,56.5
1/6/2008 6:00,61.11
1/6/2008 7:00,60.89
1/6/2008 8:00,70.07
1/6/2008 9:00,80.4
1/6/2008 10:00,82.37
1/6/2008 11:00,80.82
1/6/2008 12:00,74.73
1/6/2008 13:00,59.3
1/6/2008 14:00,59.24
1/6/2008 15:00,59.51
1/6/2008 16:00,81.72
1/6/2008 17:00,104.68
1/6/2008 18:00,101.91
1/6/2008 19:00,93.44
1/6/2008 20:00,83.56
1/6/2008 21:00,75.67
1/6/2008 22:00,63.21
1/6/2008 23:00,56.81
1/7/2008 0:00,45
1/7/2008 1:00,45.28
1/7/2008 2:00,41.69
1/7/2008 3:00,41.58
1/7/2008 4:00,44.37
1/7/2008 5:00,51.94
1/7/2008 6:00,73.58
1/7/2008 7:00,85.46
1/7/2008 8:00,86.06
1/7/2008 9:00,82.47
